Rank,Artist,Album,Date,Genres,RYM Rating,Ratings,RYM Ratings,Reviews
84,"Nat ""King"" Cole",Where Did Everyone Go?,May-63,"Vocal Jazz, Pop, Traditional Pop",3.84,39,,2
85,Bobby Bland,Call on Me / That's the Way Love Is,1963,"Rhythm & Blues, Soul",3.78,55,,1
86,Kimio Eto,Art of the Koto: The Music of Japan,1963,"Sōkyoku, Japanese Folk Music",3.7,104,,2
87,Miles Davis,Seven Steps to Heaven,15-Jul-63,Cool Jazz,3.63,1421,,29
88,Booker Ervin,Exultation!,Oct-63,Hard Bop,3.73,72,,1
89,Alex North,Cleopatra,1963,"Film Score, Cinematic Classical",3.8,41,,1
90,Luiz Bonfá,Plays and Sings Bossa Nova,1963,Bossa nova,3.68,141,,2
91,María Elena Walsh,Canciones para mirar,1963,"Children's Music, Nueva canción latinoamericana",3.81,27,,3
92,Louis Armstrong & Duke Ellington,The Great Reunion,1963,Vocal Jazz,3.71,99,,1
93,Ravi Shankar,In London,1963,Hindustani Classical Music,3.7,91,,1
94,Eric Dolphy,Conversations,1963,"Avant-Garde Jazz, Post-Bop",3.63,373,,9
95,Roland Kirk,Reeds and Deeds,1963,Post-Bop,3.72,74,,5
96,The Joe Harriott Quintet,Abstract,1963,"Post-Bop, Free Jazz, Avant-Garde Jazz",3.62,329,,7
97,Sheila Jordan,Portrait of Sheila,Jan-63,"Vocal Jazz, Standards",3.64,184,,3
98,Frank Sinatra,The Concert Sinatra,2-Jun-63,Standards,3.63,144,,8
99,Dizzy Gillespie,"Something Old, Something New",1963,Jazz,3.84,32,,2
100,Pierre Michelot and His Orchestra,Round About a Bass,1963,Jazz,3.99,NA,NA,NA
101,The Chico Hamilton Quintet,A Different Journey,Apr-63,Post-Bop,3.77,41,,2
102,Pink Anderson,"The Blues of Pink Anderson: Ballad & Folksinger, Vol. 3",1963,"Acoustic Blues, Piedmont Blues, Country Blues",3.77,NA,NA,NA
103,The Incredible Jimmy Smith,Back at the Chicken Shack,Feb-63,Soul Jazz,3.6,889,,21
104,Link Wray and his Ray Men,Jack the Ripper,1963,"Surf Rock, Rockabilly",3.6,315,,9
105,The Roland Kirk Quartet Meets the Benny Golson OrchestraRahsaan Roland KirkBenny Golson,The Roland Kirk Quartet Meets the Benny Golson Orchestra,Nov-63,"Big Band, Post-Bop",3.76,42,,1
106,Orchestre de la Société des concerts du Conservatoire / Chorale Elisabeth Brasseur / André Cluytens / Henriette Puig-Roget / Victoria de los Ángeles / Dietrich Fischer-Dieskau,Requiem,1963,"Romanticism, Choral",3.68,46,,1
107,Louisiana Red,The Lowdown Back Porch Blues,1963,"Blues, Electric Blues",3.81,NA,NA,NA
108,Roy Haynes With Booker ErvinRoy HaynesBooker Ervin,Cracklin',1963,"Cool Jazz, Hard Bop",3.7,71,,1
109,Concertgebouworkest / Eugen Jochum / Nan Merriman / Ernst Haefliger,Das Lied von der Erde,1963,Romanticism,3.93,NA,NA,NA
110,Glenn Gould,Partita No. 3 in A Minor; Partita No. 4 in D Minor; Toccata No. 7 in E Minor,16-Sep-63,Baroque Music,3.85,29,,1
111,Kenny Burrell & John Coltrane,Kenny Burrell & John Coltrane,May-63,Hard Bop,3.58,567,,14
112,François Rabbath,The Sound of a Bass,1963,Avant-Garde Jazz,3.66,96,,1
113,The Bob James Trio,Bold Conceptions,1963,Post-Bop,3.69,71,,2
114,Quincy Jones,Quincy Jones Plays Hip Hits,1963,"Jazz, Big Band",3.74,51,,2
115,Dayle Stanley,A Child of Hollow Times,1963,Contemporary Folk,3.77,43,,1
116,María Elena Walsh,Canciones para mí,1963,"Children's Music, Nueva canción latinoamericana",3.92,21,,1
117,Gerry Mulligan,Night Lights,1963,Cool Jazz,3.59,913,,9
118,Duke Ellington,Piano in the Foreground,1963,Jazz,3.66,108,,3
119,Kenny Burrell With Coleman HawkinsKenny BurrellColeman Hawkins,Bluesey Burrell,Jan-63,"Jazz, Soul Jazz",3.69,73,,1
120,Gerald Wilson,Moment of Truth,1963,"Big Band, Jazz",3.9,21,,1
1,Eric Dolphy,Out to Lunch,Aug-64,Avant-Garde Jazz,3.98,8568,,145
2,Stan Getz & João Gilberto featuring Antônio Carlos Jobim,Getz / Gilberto,Apr-64,"Bossa nova, Samba-Jazz",3.96,8519,,136
3,Charles Mingus,Mingus Mingus Mingus Mingus Mingus,May-64,Post-Bop,3.96,4705,,61
4,Herbie Hancock,Empyrean Isles,Dec-64,"Hard Bop, Post-Bop",3.91,3850,,59
5,New York Philharmonic / Leonard Bernstein / Jennie Tourel / Lee Venora,"Symphony No. 2 in C Minor ""The Resurrection Symphony""",1964,"Symphony, Romanticism",4.06,NA,NA,NA
6,Lee Morgan,The Sidewinder,Jul-64,Hard Bop,3.91,2977,,56
7,Glenn Gould,The Well-Tempered Clavier: Book I - Preludes and Fugues 9-16,13-Jan-64,Baroque Music,3.99,115,,3
8,John Coltrane Quartet,Crescent,Jul-64,Post-Bop,3.87,2641,,33
9,Академический симфонический оркестр Московской государственной филармонии / Кирилл Кондрашин [Kirill Kondrashin],Symphony No. 5,1964,"Modern Classical, Symphony",3.89,292,,4
10,Philharmonia Orchestra / Otto Klemperer,"""Unfinished"" Symphony; Symphony No.5 in B Flat Major",1964,"Romanticism, Symphony",4.26,NA,NA,NA
11,Jackie McLean,Destination Out!,Oct-64,Post-Bop,3.86,1344,,26
12,Wiener Philharmoniker / Wiener Staatsopernchor / Rudolf Kempe / Jess Thomas / Elisabeth Grümmer / Dietrich Fischer-Dieskau / Christa Ludwig / Gottlob Frick / Otto Wiener,Lohengrin,1964,"Opera, Romanticism",3.93,86,,1
13,Grachan Moncur III,Evolution,Apr-64,Post-Bop,3.85,1443,,30
14,Yusef Lateef,Eastern Sounds,Jun-64,Hard Bop,3.85,2242,,39
15,Bob Dylan,The Times They Are A-Changin',13-Jan-64,"Contemporary Folk, Singer/Songwriter",3.78,10204,,207
16,Dizzy Gillespie,Soundtrack to the Motion Picture The Cool World,1964,"Jazz, Film Score",4,54,,1
17,Jackie McLean,One Step Beyond,Jan-64,Post-Bop,3.84,838,,14
18,Berliner Philharmoniker / Herbert von Karajan,Le Sacre du printemps,Jun-64,"Modern Classical, Orchestral",3.83,159,,5
19,Concentus Musicus Wien / Nikolaus Harnoncourt,Brandenburgische Konzerte 1-6,1964,"Baroque Music, Concerto",3.94,63,,1
20,Andrew Hill,Black Fire,Mar-64,Post-Bop,3.82,1660,,24
21,Das Philharmonia Orchester London / Der Philharmonia Chor London / Carlo Maria Giulini / Elisabeth Schwarzkopf / Christa Ludwig / Nicolai Gedda / Nicolai GhiaurovPhilharmonia OrchestraPhilharmonia ChorusCarlo Maria GiuliniElisabeth SchwarzkopfChrista LudwigNicolai GeddaNicolai Ghiaurov,Requiem,1964,"Choral, Romanticism, Christian Liturgical Music",3.86,192,,3
22,Booker Ervin,The Freedom Book,Mar-64,Post-Bop,3.83,696,,16
23,New York Philharmonic / Leonard Bernstein / Gary Graffman,Second Piano Concerto; Rhapsody on a Theme of Paganini,1964,"Romanticism, Concerto",4.04,34,,2
24,Andrew Hill,Judgment!,Sep-64,Post-Bop,3.82,1061,,21
25,John Fahey,"Vol. II: Death Chants, Breakdowns and Military Waltzes",1964,American Primitivism,3.81,1857,,20
26,The Ronettes,Presenting The Fabulous Ronettes Featuring Veronica,Nov-64,"Girl Group, Brill Building",3.8,2602,,55
27,Muddy Waters,Folk Singer,30-Jan-64,Delta Blues,3.8,1929,,51
28,Hank Mobley,No Room for Squares,Jun-64,Hard Bop,3.83,649,,12
29,Minneapolis Symphony Orchestra / Antal DorátiMinnesota OrchestraAntal Doráti,The Rite of Spring,1964,"Modern Classical, Orchestral",4.17,17,,2
30,Gil Evans,The Individualism of Gil Evans,Sep-64,"Post-Bop, Progressive Big Band",3.81,567,,10
31,Berliner Philharmoniker / John Barbirolli,Symphony No. 9,Sep-64,"Romanticism, Symphony",3.84,95,,1
32,John Coltrane,Coltrane's Sound,Jun-64,Hard Bop,3.79,1720,,27
33,John Barry,Goldfinger,1964,"Film Score, Cinematic Classical",3.81,338,,6
34,Wayne Shorter,Night Dreamer,Oct-64,Post-Bop,3.79,1173,,21
35,Berliner Philharmoniker / Karl Böhm / Evelyn Lear / Roberta Peters / Lisa Otto / Fritz Wunderlich / Dietrich Fischer-Dieskau / Franz Crass / Hans Hotter,Die Zauberflöte,1964,"Opera, Classical Period",3.84,150,,1
36,Jan Johansson,Jazz på svenska,1964,Jazz,3.79,1258,,21
37,CBC Symphony Orchestra / The Festival Singers of Toronto / Igor StravinskyCBC Symphony OrchestraThe Festival Singers of CanadaIgor Stravinsky,Stravinsky Conducts Symphony of Psalms & Symphony in C,10-Feb-64,"Symphony, Neoclassicism",3.9,77,,1
38,New York Philharmonic / Leonard Bernstein,Symphonie fantastique,1964,"Romanticism, Symphony",3.8,302,,5
39,Sam Cooke,Ain't That Good News,1-Mar-64,"Southern Soul, Soul",3.78,1193,,19
40,The Beatles,A Hard Day's Night,10-Jul-64,"Merseybeat, Pop Rock",3.65,19750,,456
41,Various Artists,Fiddler on the Roof [Original Broadway Cast],1964,Show Tunes,3.84,123,,5
42,Eydie Gormé & the Trio Los Panchos,Amor,1964,Bolero,3.82,213,,4
43,Michel Legrand,Les parapluies de Cherbourg,1964,"Film Soundtrack, Jazz Pop",3.78,245,,4
44,Bob Dylan,Another Side of Bob Dylan,8-Aug-64,"Contemporary Folk, Singer/Songwriter",3.72,7786,,195
45,The Supremes,Where Did Our Love Go,31-Aug-64,"Girl Group, Motown Sound, Pop Soul",3.75,1560,,24
46,Joe Henderson,Our Thing,Jun-64,Hard Bop,3.78,467,,6
47,Booker Ervin,The Blues Book,1964,Post-Bop,3.79,188,,4
48,Thelonious Monk,It's Monk's Time,13-Jul-64,Hard Bop,3.77,539,,8
49,Berliner Philharmoniker / Herbert von Karajan,"Symphony Nr. 5 (9) e-moll op. 95 ""Aus der Neuen Welt""",1964,"Romanticism, Symphony",3.94,39,,1
50,Dexter Gordon,A Swingin' Affair,Oct-64,Hard Bop,3.78,239,,5
51,Donald Byrd Band & Voices,A New Perspective,Feb-64,Hard Bop,3.75,784,,19
52,Baden Powell,À vontade,1964,"Bossa nova, Choro, Samba-Jazz",3.74,654,,10
53,Roger Miller,Dang Me (Roger and Out),May-64,"Singer/Songwriter, Country",3.82,74,,2
54,Mississippi Fred McDowell,Delta Blues,1964,"Delta Blues, Hill Country Blues",3.79,162,,3
55,Buck Owens and His Buckeroos,Together Again / My Heart Skips a Beat,20-Jul-64,Bakersfield Sound,3.77,150,,4
56,Jacques Brel,Jacques Brel [Jef],1964,Chanson à texte,3.79,129,,3
57,Kenny Dorham,Una más (One More Time),Jan-64,Hard Bop,3.75,457,,8
58,Henry Mancini,The Pink Panther,Mar-64,"Film Score, Lounge",3.74,508,,10
59,Zimbo Trio,Zimbo Trio,1964,Samba-Jazz,3.8,109,,5
60,Herbie Hancock,Inventions & Dimensions,1964,Post-Bop,3.73,1096,,21
61,Irma Thomas,Wish Someone Would Care,Jun-64,"Southern Soul, Deep Soul",3.74,413,,8
62,"Frank Sinatra, Count Basie and His OrchestraFrank SinatraCount BasieCount Basie Orchestra",It Might as Well Be Swing,22-Aug-64,"Vocal Jazz, Standards",3.73,368,,6
63,Barbara,"Dis, quand reviendras-tu ?",Jun-64,Chanson à texte,3.93,NA,NA,NA
64,Glenn Gould,The Two and Three Part Inventions (Inventions & Sinfonias),10-Aug-64,Baroque Music,3.72,252,,2
65,Art Blakey & The Jazz Messengers,The Freedom Rider,Feb-64,Hard Bop,3.74,351,,7
66,Fred McDowell,My Home Is in the Delta,1964,"Delta Blues, Hill Country Blues",3.79,NA,NA,NA
67,Ravi Shankar,Rāgas & Tālas,1964,Hindustani Classical Music,3.76,175,,1
68,Baden Powell,Le monde musical de Baden Powell,1964,"Bossa nova, Third Stream",3.79,93,,2
69,The Incredible Jimmy Smith,The Cat,1964,"Big Band, Soul Jazz",3.73,329,,13
70,Sarah Vaughan,The Lonely Hours,1964,Vocal Jazz,3.84,NA,NA,NA
71,Chuck Berry,St. Louis to Liverpool,Nov-64,Rock & Roll,3.71,831,,11
72,Shirley Collins & Davy Graham,"Folk Roots, New Routes",Mar-64,"English Folk Music, Folk Baroque",3.72,461,,20
73,Johnny Coles,Little Johnny C,Mar-64,Hard Bop,3.77,131,,4
74,Jimmy Heath Quintet,On the Trail,1964,Hard Bop,3.9,NA,NA,NA
75,Ravi Shankar,Portrait of Genius,1964,Hindustani Classical Music,3.74,243,,3
76,Various Artists,Mary Poppins,Mar-64,"Film Soundtrack, Show Tunes",3.72,212,,3
77,Jimmy Witherspoon,Evenin' Blues,1964,Blues,3.91,37,,1
78,Chico Hamilton,Man From Two Worlds,Aug-64,Post-Bop,3.77,107,,4
79,Denny Zeitlin,Cathexis,May-64,Post-Bop,3.73,220,,4
80,London Symphony Orchestra / Georg Solti,Symphony No. 1,1964,"Romanticism, Symphony",3.92,NA,NA,NA
81,Tenorio Jr.,Embalo,1964,Samba-Jazz,3.73,198,,5
82,Oscar Peterson,The Oscar Peterson Trio Plays,1964,Jazz,4.03,25,,1
83,Bill Evans Trio,How My Heart Sings!,Jan-64,"Cool Jazz, Modal Jazz",3.73,247,,5
84,Artur Rubinstein,Waltzes,1964,"Romanticism, Classical Waltz",4.03,NA,NA,NA
85,Doc Watson,Doc Watson,Sep-64,"Appalachian Folk Music, Contemporary Folk",3.7,429,,6
86,The Dave Brubeck Quartet,Jazz Impressions of Japan,10-Aug-64,Cool Jazz,3.69,682,,12
87,Berliner Philharmoniker / Herbert von Karajan,Symphonie Nr. 3; Haydn-Variationen,1964,"Romanticism, Orchestral",3.98,NA,NA,NA
88,Dusty Springfield,Stay Awhile - I Only Want to Be With You,Jun-64,Pop Soul,3.71,213,,3
89,Orchestre de l'Opéra national de Paris / Chœurs René Duclos / Georges Prêtre / Maria Callas / Andréa Guiot / Nicolai Gedda / Robert Massard,Carmen,1964,"Opera, Romanticism",3.73,118,,1
90,Kenny Burrell,Soul Call,1964,Soul Jazz,3.78,74,,2
91,Freddie Hubbard,Breaking Point,Sep-64,"Hard Bop, Modal Jazz",3.71,277,,4
92,Ike Quebec,It Might as Well Be Spring,Jul-64,Soul Jazz,3.71,212,,3
93,Edu Lobo,A música de Edu Lobo por Edu Lobo,1964,"Bossa nova, MPB",3.71,209,,3
94,Paco de Lucía y Ricardo ModregoPaco de LucíaRicardo Modrego,Dos guitarras flamencas en stereo,1964,Flamenco,3.82,58,,2
95,Buffy Sainte-Marie,It's My Way!,Feb-64,"Contemporary Folk, Singer/Songwriter",3.67,568,,17
96,Otis Redding,Pain in My Heart,17-Mar-64,Southern Soul,3.68,948,,22
97,Phil Ochs,All the News That's Fit to Sing,Nov-64,"Contemporary Folk, Singer/Songwriter",3.68,545,,16
98,Anna King,Back to Soul,1964,"Soul, Deep Soul",3.81,55,,1
99,Nara Leão,Nara,Feb-64,"Bossa nova, MPB, Vocal Jazz, Samba-Jazz",3.67,991,,5
100,Archie Shepp,Four for Trane,Nov-64,Avant-Garde Jazz,3.68,647,,6
101,Bukka White,Mississippi Blues,1964,Delta Blues,3.72,158,,1
102,"Oscar Peterson Trio + One, Clark TerryOscar PetersonClark Terry","Oscar Peterson Trio + One, Clark Terry",Sep-64,"Jazz, Hard Bop",3.71,174,,6
103,Ravi Shankar & Ali Akbar Khan,Master Musicians of India,1964,Hindustani Classical Music,3.78,68,,3
104,Jimmy Smith,Prayer Meetin',Jul-64,"Soul Jazz, Hard Bop, Jazz",3.69,140,,6
105,Johnny Cash,I Walk the Line,Jun-64,"Country, Rockabilly",3.66,581,,7
106,The Ventures,"Walk, Don't Run Vol. 2",Oct-64,"Surf Rock, Rock & Roll",3.71,170,,7
107,Monica Zetterlund & Bill Evans,Waltz for Debby,Dec-64,"Vocal Jazz, Cool Jazz",3.68,310,,1
108,John Lee Hooker,Burning Hell,1964,Delta Blues,3.7,177,,1
109,The Kentucky Colonels,Appalachian Swing!,Apr-64,"Bluegrass, Appalachian Folk Music",3.72,109,,2
110,Léo Ferré,Verlaine et Rimbaud chantés par Léo Ferré,1964,"Chanson, Poetry, Chanson à texte",3.78,66,,2
111,"Nat ""King"" Cole",Let's Face the Music!,Feb-64,"Vocal Jazz, Traditional Pop",3.93,30,,1
112,Jean-Luc Ponty,Jazz Long Playing,1964,Post-Bop,3.8,58,,1
113,Μίκης Θεοδωράκης [Mikis Theodorakis],Το Άξιον Εστί,1964,Entechna,3.77,53,,2
114,Serge Gainsbourg,Confidentiel,7-Jan-64,"Chanson à texte, Chanson",3.66,541,,15
115,Georges Brassens,Les copains d'abord,Nov-64,"Chanson à texte, Chanson",3.71,133,,3
116,The Modern Jazz Quartet with Laurindo AlmeidaThe Modern Jazz QuartetLaurindo Almeida,Collaboration,1964,Third Stream,3.74,89,,2
117,Sahib Shihab,Summer Dawn,Nov-64,"Hard Bop, Modal Jazz",3.82,NA,NA,NA
118,Dave Van Ronk,Inside Dave Van Ronk,Oct-64,Contemporary Folk,3.67,293,,3
119,Johnny Hartman,I Just Dropped By to Say Hello,Feb-64,"Vocal Jazz, Standards",3.66,204,,2
120,The Benny Goodman Quartet,Together Again!,1964,Swing,3.69,129,,2
1,John Coltrane,A Love Supreme,Feb-65,Spiritual Jazz,4.3,24044,,427
2,Bob Dylan,Highway 61 Revisited,30-Aug-65,"Folk Rock, Singer/Songwriter",4.18,25625,,599
3,The Beatles,Rubber Soul,3-Dec-65,Pop Rock,4.03,32305,,715
4,Bob Dylan,Bringing It All Back Home,22-Mar-65,"Folk Rock, Singer/Songwriter, Contemporary Folk",4.12,16277,,382
5,Vince Guaraldi,A Charlie Brown Christmas,Dec-65,"Christmas Music, Cool Jazz, Television Music",4.03,5461,,122
6,Otis Redding,Otis Blue: Otis Redding Sings Soul,15-Sep-65,"Deep Soul, Southern Soul",4,6631,,119
7,Nina Simone,Pastel Blues,Oct-65,"Vocal Jazz, Soul, Rhythm & Blues",3.98,5064,,47
8,The Horace Silver Quintet,Song for My Father (Cantiga para meu pai),Jan-65,Hard Bop,3.96,3163,,47
9,Art Blakey & The Jazz Messengers,Free for All,Jul-65,Hard Bop,3.96,2006,,29
10,Juilliard String Quartet,The Six String Quartets,Mar-65,"Chamber Music, Modern Classical",3.98,238,,2
11,Jackson C. Frank,Jackson C. Frank,Dec-65,"Contemporary Folk, Singer/Songwriter",3.9,4933,,68
12,Grant Green,Idle Moments,Mar-65,Hard Bop,3.89,3188,,45
13,Wayne Shorter,Juju,Jun-65,Modal Jazz,3.89,2518,,43
14,Pete La Roca,Basra,Oct-65,"Hard Bop, Modal Jazz",3.88,1118,,16
15,Nino Rota,Giulietta degli spiriti,1965,Film Score,3.98,95,,2
16,Ennio Morricone e la sua orchestra,Per qualche dollaro in più,1965,"Film Score, Spaghetti Western",3.89,955,,8
17,Dexter Gordon,One Flight Up,Sep-65,Hard Bop,3.89,601,,4
18,Wiener Philharmoniker / Wiener Staatsopernchor / Georg Solti / Birgit Nilsson / Wolfgang Windgassen / Dietrich Fischer-Dieskau / Gustav Neidlinger / Christa Ludwig / Claire Watson / Gwyneth Jones / Gottlob Frick / Grace Hoffman / Helen Watts / Lucia Popp / Anita Välkki / Maureen Guy,Götterdämmerung,1965,"Romanticism, Opera",3.9,116,,2
19,Andrew Hill,Point of Departure,Apr-65,Avant-Garde Jazz,3.86,2918,,56
20,The Roland Kirk Quartet,"Rip, Rig and Panic",Dec-65,Post-Bop,3.86,1293,,18
21,Albert Ayler Trio,Spiritual Unity,1965,Free Jazz,3.81,4813,,85
22,Glenn Gould,The Well-Tempered Clavier: Book 1 - Preludes and Fugues 17-24,18-Oct-65,Baroque Music,3.97,NA,NA,NA
23,Junior Wells' Chicago Blues Band,Hoodoo Man Blues,Nov-65,Chicago Blues,3.85,1727,,46
24,The John Coltrane Quartet,The John Coltrane Quartet Plays,Aug-65,"Avant-Garde Jazz, Modal Jazz",3.84,1014,,17
25,New Philharmonia Orchestra / Otto Klemperer,Symphony No. 6 in A,1965,"Symphony, Romanticism",3.97,NA,NA,NA
26,Son House,Father of Folk Blues,18-Oct-65,Delta Blues,3.82,1785,,35
27,John Barry,The Ipcress File,1965,"Film Score, Cinematic Classical",3.91,83,,5
28,Bobby Hutcherson,Dialogue,Sep-65,"Post-Bop, Modal Jazz, Avant-Garde Jazz",3.81,1466,,33
29,Orchestre National de l'O.R.T.F / Ensemble instrumental de musique contemporaine de Paris / Maurice Le Roux / Konstantin Simonovich / Yuji TakahashiOrchestre national de FranceEnsemble Instrumental de Musique Contemporaine de ParisMaurice Le RouxKonstantin Simonovich高橋悠治 [Yuji Takahashi],Metastasis; Pithoprakta; Eonta,1965,"Stochastic Music, Orchestral",3.81,839,,14
30,Nina Simone,I Put a Spell on You,Mar-65,"Vocal Jazz, Soul",3.8,2238,,26
31,Miles Davis,E.S.P.,16-Aug-65,Post-Bop,3.78,2703,,49
32,The Beatles,Help!,6-Aug-65,Pop Rock,3.67,19995,,376
33,Thelonious Monk,Monk.,25-Jan-65,Hard Bop,3.8,528,,8
34,Orchestre National Paris / Paul Paray / Monique HaasOrchestre national de FrancePaul ParayMonique Haas,Piano Concerto in G Major; Concerto for Left Hand,1965,"Concerto, Modern Classical, Impressionism",3.99,41,,3
35,The Sonics,Here Are The Sonics!!!,Mar-65,"Garage Rock, Proto-Punk",3.74,5097,,128
36,American Symphony Orchestra / Leopold Stokowski,Symphony No. 4,Oct-65,"Modern Classical, Symphony",3.79,375,,4
37,Concertgebouw Orchestra / George Szell,Symphony No. 2,1965,"Romanticism, Symphony",4.22,NA,NA,NA
38,Various Artists,The Sound of Music,1-Mar-65,"Film Soundtrack, Show Tunes, Film Score",3.75,510,,19
39,Moacir Santos,Coisas,1965,Samba-Jazz,3.78,751,,19
40,Otis Redding,The Great Otis Redding Sings Soul Ballads,Mar-65,"Southern Soul, Deep Soul",3.78,974,,13
41,Sam Rivers,Fuchsia Swing Song,Apr-65,"Hard Bop, Post-Bop",3.78,903,,13
42,Skip James,Greatest of the Delta Blues Singers,Nov-65,Delta Blues,3.79,317,,3
43,Roland Kirk,I Talk With the Spirits,Mar-65,Post-Bop,3.77,1063,,16
44,The Oscar Peterson Trio,We Get Requests,1965,Cool Jazz,3.8,331,,3
45,London Symphony Orchestra / John Barbirolli / Jacqueline du Pré / Janet Baker,Cello Concerto; Sea Pictures,1965,"Romanticism, Orchestral",3.78,335,,6
46,Joe Henderson,In 'n Out,Feb-65,"Hard Bop, Post-Bop",3.77,568,,6
47,The Byrds,Mr. Tambourine Man,21-Jun-65,"Folk Rock, Pop Rock",3.72,5154,,154
48,Julian Bream,"Baroque Guitar (Bach, Sanz, Sor, Visee, Weiss)",1965,Baroque Music,3.93,36,,2
49,Elizeth Cardoso,Elizete sobe o morro,1965,Samba,3.93,NA,NA,NA
50,The Incredible Jimmy Smith,Organ Grinder Swing,1965,Soul Jazz,3.8,189,,2
51,The Andrzej Trzaskowski Quintet,The Andrzej Trzaskowski Quintet,1965,"Avant-Garde Jazz, Post-Bop",3.76,455,,3
52,Barbara,Barbara N° 2,10-Sep-65,Chanson à texte,3.8,129,,4
53,Kenny Dorham,Trompeta Toccata,Jul-65,Hard Bop,3.79,180,,4
54,Ted Curson Quartet,Tears for Dolphy,1965,"Hard Bop, Post-Bop",3.79,153,,2
55,Phil Ochs,I Ain't Marching Anymore,Aug-65,"Contemporary Folk, Singer/Songwriter",3.72,1214,,27
56,The Paul Butterfield Blues Band,The Paul Butterfield Blues Band,Oct-65,Electric Blues,3.72,1101,,36
57,J.B. Lenoir,Alabama Blues,1965,Acoustic Blues,3.76,235,,2
58,Rio 65 Trio,Rio 65 Trio,1965,"Samba-Jazz, Cool Jazz",3.87,NA,NA,NA
59,Nara Leão,O canto livre de Nara,1965,"Bossa nova, Samba-Jazz",3.74,397,,7
60,Booker Ervin,The Space Book,Oct-65,Post-Bop,3.75,234,,4
61,Thelonious Monk,Solo Monk,May-65,Stride,3.72,1274,,23
62,Frank Sinatra,September of My Years,27-May-65,"Standards, Vocal Jazz",3.72,795,,32
63,Sambrasa Trio,Em som maior,1965,Samba-Jazz,3.76,194,,5
64,Sleepy John Estes,Brownsville Blues,Aug-65,Country Blues,3.97,28,,1
65,Anthony Williams,Life Time,Jan-65,Avant-Garde Jazz,3.72,588,,16
66,Violeta Parra,Recordando a Chile: Una chilena en París,1965,Nueva canción latinoamericana,3.82,73,,2
67,Julie London,All Through the Night: Julie London Sings the Choicest of Cole Porter,1965,"Vocal Jazz, Standards",3.77,98,,1
68,The Max Roach Trio featuring the Legendary Hassan,The Max Roach Trio Featuring the Legendary Hasaan,Mar-65,Hard Bop,3.73,275,,10
69,The Beach Boys,The Beach Boys Today!,1-Mar-65,"Pop Rock, Baroque Pop",3.66,5603,,138
70,Blue Mitchell,The Thing to Do,Jun-65,Hard Bop,3.73,293,,4
71,Araci Côrtes & Clementina de Jesus,Rosa de ouro,1965,"Partido alto, Samba",3.82,55,,3
72,John Fahey,Vol 3: Dance of Death & Other Plantation Favorites,1965,American Primitivism,3.7,1316,,10
73,Hank Mobley,The Turnaround!,Jul-65,Hard Bop,3.75,186,,3
74,Ella Fitzgerald,Ella Fitzgerald Sings the Johnny Mercer Song Book,1965,"Vocal Jazz, Standards",3.74,123,,2
75,Grachan Moncur III,Some Other Stuff,Feb-65,"Post-Bop, Avant-Garde Jazz",3.7,589,,17
76,Alfred Newman,The Greatest Story Ever Told,1965,"Film Score, Film Soundtrack, Cinematic Classical",3.99,NA,NA,NA
77,Davy Graham,"Folk, Blues & Beyond...",1965,"Acoustic Blues, Contemporary Folk, Folk Baroque",3.7,517,,14
78,Ariel Ramírez,Misa Criolla: Messe et chants religieux d'inspiration folklorique Argentine,1965,"Christian Liturgical Music, Hispanic American Folk Music",3.73,141,,3
79,Berliner Philharmoniker / Herbert von Karajan,Symphonie Nr. 1,1965,"Romanticism, Symphony",3.83,NA,NA,NA
80,Paul Winter & Carlos Lyra,The Sound of Ipanema,1965,Bossa nova,3.9,36,,1
81,Grant Green,Talkin' About!,Oct-65,Soul Jazz,3.71,211,,8
82,Luiz Gonzaga,Quadrilhas e marchinhas juninas,1965,"Baião, Forró",3.91,NA,NA,NA
83,The Shangri-Las,Shangri-Las-65!,Nov-65,"Girl Group, Brill Building",3.71,211,,5
84,Sahib Shibab and The Danish Radio Jazz GroupSahib ShihabThe Radio Jazz Group,Sahib Shibab and The Danish Radio Jazz Group,1965,Post-Bop,3.88,NA,NA,NA
85,Kenny Burrell,Guitar Forms,1965,Jazz,3.72,198,,5
86,Berliner Philharmoniker / Herbert von Karajan / Christian Ferras,Violinkonzert; Finlandia,1965,"Romanticism, Orchestral",3.87,NA,NA,NA
87,Yardbirds,Having a Rave Up With the Yardbirds,Nov-65,"Blues Rock, British Rhythm & Blues, Garage Rock, Freakbeat",3.66,1696,,46
88,Sonny Rollins,Sonny Rollins on Impulse!,Aug-65,Hard Bop,3.73,204,,4
89,Paul Desmond,Glad to Be Unhappy,Sep-65,Cool Jazz,3.73,177,,1
90,Ahmad Jamal,Extensions,1965,"Cool Jazz, Avant-Garde Jazz",3.76,96,,1
91,The USSR Russian Chorus / Aleksander SveshnikovГосударственный академический русский хор имени А. В. Свешникова [Sveshnikov State Academic Russian Choir]Александр Свешников [Alexander Sveshnikov],Vespers,1965,Choral,3.89,37,,1
92,Bert Jansch,Bert Jansch,16-Apr-65,"Folk Baroque, Singer/Songwriter, Contemporary Folk",3.66,2150,,36
93,Four Tops,Second Album,Nov-65,Motown Sound,3.7,284,,4
94,The Albert Mangelsdorff Quintet,Now Jazz Ramwong,1965,"Post-Bop, Modal Jazz",3.73,NA,NA,NA
